#GRB	Redshift	Ave_NH_PC	Ave_dNH_PC+	Ave_dNH_PC-
050801	N/A	2.09E-12	+2.45E-2	-2.09E-12
050730	3.97	0.37	+0.43	-0.37
050726	N/A	1.06E-2	+2.62E-2	-1.06E-2
050724	0.257	2.55E-6	+0.10	-2.55E-6
050721	N/A	7.42E-2	+0.11	-7.42E-2
050717	N/A	0.12	+0.12	-0.12
050716	N/A	6.08E-2	+5.25E-2	-4.73E-2
050714B	N/A	0.38	+9.51E-2	-8.03E-2
050714	N/A	2.4	+2.7	-1.8
050713B	N/A	0.34	+9.94E-2	-9.22E-2
050713A	N/A	0.27	+7.85E-2	-7.26E-2
050712	N/A	1.47E-8	+3.40E-2	-1.47E-8
050701	N/A	3.9	+2.3	-1.4
050607	N/A	4.74E-2	+5.73E-2	-4.74E-2
050603	2.821	0.30	+0.52	-0.30
050525A	0.606	0.14	+0.13	-0.12
050520	N/A	2.4	+3.6	-1.7
050509B	0.225	8.41E-6	+0.18	-8.41E-6
050509A	N/A	0.25	+0.70	-0.25
050505	4.27	2.3	+0.67	-0.65
050504	N/A	0.29	+0.30	-0.27
050502B	N/A	8.44E-3	+2.63E-2	-8.44E-3
050422	N/A	4.62E-2	+0.48	-4.62E-2
050421	N/A	0.74	+0.35	-0.41
050416A	0.6535	0.73	+0.13	-0.12
050412	N/A	0.24	+0.41	-0.24
050410	N/A	8.78E-2	+0.14	-8.35E-2
050408	1.236	1.7	+0.38	-0.33
050406	N/A	5.74E-12	+5.02E-2	-5.74E-12
050401	2.9	1.6	+1.0	-0.95
050326	N/A	7.11E-2	+5.49E-2	-5.02E-2
050319	3.24	6.62E-2	+0.40	-6.62E-2
050318	1.44	9.60E-2	+0.13	-9.60E-2
050315	1.949	0.97	+0.30	-0.28
050223	0.5915	4.96E-6	+0.34	-4.96E-6
050219B	N/A	0.15	+6.65E-2	-5.92E-2
050219A	N/A	1.62E-2	+0.17	-1.62E-2
050215B	N/A	4.08E-6	+6.93E-2	-4.08E-6
050128	N/A	2.95E-2	+2.16E-2	-2.05E-2
050126	1.29	6.82E-14	+0.13	-6.82E-14
050124	N/A	1.05E-5	+5.11E-2	-1.05E-5
041223	N/A	8.01E-7	+4.39E-2	-8.01E-7
041218	N/A	2.02E-5	+0.95	-2.02E-5
